STNAME	,	AAWDT
N 45TH ST	,	22200
NE 80TH ST	,	9500
DENNY WAY	,	30200
E ALOHA ST	,	7600
51ST AVE S	,	6300
24TH AVE NW	,	10300
10TH AVE E	,	13100
NE NORTHGATE WAY	,	29500
JAMES ST	,	33400
NW 80TH ST	,	8500
AURORA AVE N	,	36700
4TH AVE S	,	23800
AIRPORT WAY S	,	16700
15TH AVE W	,	38500
S LUCILE ST	,	6800
DENNY WAY	,	24000
E YESLER WAY	,	8000
BOREN AVE	,	21300
DELRIDGE WAY SW	,	13400
FAUNTLEROY WAY SW	,	16500
QUEEN ANNE AVE N	,	12200
14TH AVE	,	8100
NE 75TH ST	,	16700
7TH AVE	,	7300
NE 45TH ST	,	36900
N 46TH ST	,	24500
N 65TH ST	,	7900
SW MORGAN ST	,	7400
E CHERRY ST	,	8000
S GENESEE ST	,	9800
N 85TH ST	,	23700
MAGNOLIA BR	,	17000
AIRPORT WAY S	,	11400
MADISON ST	,	23100
NE 50TH ST	,	26200
GREENWOOD AVE N	,	11900
E PINE ST	,	11900
GREENWOOD AVE N	,	22100
ROOSEVELT WAY NE	,	18500
1ST AVE NE	,	5300
FAUNTLEROY FERRY DOCK	,	5700
N 145TH ST	,	24100
E PIKE ST	,	12200
35TH AVE NE	,	15100
7TH AVE	,	4800
FAUNTLEROY WAY SW	,	11000
1ST AVE S	,	14100
NE 55TH ST	,	6000
1ST AVE S	,	10200
NE 45TH ST	,	25500
RAINIER AVE S	,	30100
1ST AVE S	,	11700
EAST GREEN LAKE WAY N	,	17100
2ND AVE	,	12100
32ND AVE NW	,	4200
12TH AVE	,	12300
NE 65TH ST	,	11700
GREENWOOD AVE N	,	12200
5TH AVE NE	,	5900
ELLIOTT AVE W	,	44000
1ST AVE S	,	25400
SEAVIEW AVE NW	,	2800
LAKE CITY WAY NE	,	35400
3RD AVE	,	6900
N 105TH ST	,	23000
12TH AVE NE	,	8900
DELRIDGE WAY SW	,	17000
15TH AVE NE	,	15200
15TH AVE NW	,	31000
WESTLAKE AVE N	,	24600
N 40TH ST	,	11500
1ST AVE	,	21600
W EMERSON PL	,	20100
LAKE WASHINGTON BLVD E	,	17300
PHINNEY AVE N	,	11700
BROADWAY	,	17100
BEACON AVE S	,	11400
BALLARD BR	,	57200
EAST MARGINAL WAY S	,	12400
S DEARBORN ST	,	20700
NE 65TH ST	,	15200
6TH AVE S	,	14900
ALKI AVE SW	,	9700
5TH AVE	,	10800
	,	5200
1ST AV S BR NB	,	89400
W EMERSON PL	,	20100
NW 85TH ST	,	14500
8TH AVE SW	,	6300
RAINIER AVE S	,	35000
4TH AVE S	,	22000
ALASKAN WAY	,	10800
PINEHURST WAY NE	,	8600
35TH AVE SW	,	20600
LEARY WAY NW	,	28500
4TH AVE	,	17400
NE 45TH ST	,	40300
NE NORTHGATE WAY	,	17800
SW ADMIRAL WAY	,	25400
